DATE,VALUE,OPEN,HIGH,LOW
26.05.2005,1.386,1.386,1.393,1.375
27.05.2005,1.371,1.382,1.386,1.362
30.05.2005,1.365,1.373,1.380,1.362
31.05.2005,1.365,1.369,1.376,1.349
1.06.2005,1.361,1.360,1.372,1.350
2.06.2005,1.347,1.358,1.365,1.339
3.06.2005,1.367,1.342,1.368,1.334
6.06.2005,1.367,1.362,1.379,1.359
7.06.2005,1.372,1.363,1.372,1.353
8.06.2005,1.361,1.364,1.375,1.355
9.06.2005,1.363,1.360,1.371,1.354
10.06.2005,1.367,1.362,1.371,1.353
13.06.2005,1.378,1.365,1.384,1.365
14.06.2005,1.385,1.377,1.386,1.361
15.06.2005,1.375,1.380,1.386,1.369
16.06.2005,1.363,1.372,1.377,1.359
17.06.2005,1.356,1.362,1.365,1.350
20.06.2005,1.363,1.357,1.368,1.352
21.06.2005,1.359,1.362,1.370,1.351
22.06.2005,1.355,1.352,1.361,1.348
23.06.2005,1.356,1.351,1.362,1.347
24.06.2005,1.350,1.350,1.359,1.345
27.06.2005,1.351,1.347,1.357,1.343
28.06.2005,1.347,1.350,1.355,1.342
29.06.2005,1.340,1.347,1.352,1.338
30.06.2005,1.331,1.338,1.346,1.327
1.07.2005,1.336,1.329,1.342,1.329
4.07.2005,1.341,1.338,1.347,1.336
5.07.2005,1.348,1.341,1.354,1.339
6.07.2005,1.350,1.345,1.354,1.341
7.07.2005,1.358,1.348,1.376,1.345
8.07.2005,1.344,1.351,1.358,1.337
11.07.2005,1.340,1.341,1.348,1.335
12.07.2005,1.327,1.335,1.343,1.325
13.07.2005,1.335,1.326,1.338,1.325
14.07.2005,1.330,1.333,1.343,1.324
15.07.2005,1.332,1.326,1.337,1.324
18.07.2005,1.334,1.331,1.338,1.327
19.07.2005,1.334,1.331,1.338,1.328
20.07.2005,1.329,1.329,1.337,1.327
21.07.2005,1.324,1.326,1.332,1.319
22.07.2005,1.340,1.322,1.349,1.317
25.07.2005,1.338,1.337,1.345,1.333
26.07.2005,1.346,1.339,1.357,1.335
27.07.2005,1.340,1.343,1.348,1.336
28.07.2005,1.328,1.337,1.344,1.324
29.07.2005,1.326,1.325,1.333,1.320
1.08.2005,1.322,1.322,1.327,1.315
2.08.2005,1.322,1.318,1.328,1.316
3.08.2005,1.313,1.321,1.325,1.309
4.08.2005,1.313,1.311,1.321,1.307
5.08.2005,1.317,1.312,1.322,1.308
8.08.2005,1.325,1.315,1.326,1.312
9.08.2005,1.327,1.322,1.330,1.317
10.08.2005,1.324,1.323,1.326,1.312
11.08.2005,1.331,1.319,1.335,1.315
12.08.2005,1.350,1.329,1.355,1.325
15.08.2005,1.346,1.348,1.369,1.341
16.08.2005,1.350,1.343,1.356,1.339
17.08.2005,1.370,1.346,1.376,1.346
18.08.2005,1.370,1.366,1.375,1.358
19.08.2005,1.382,1.372,1.383,1.365
22.08.2005,1.362,1.377,1.380,1.357
23.08.2005,1.368,1.358,1.373,1.351
24.08.2005,1.367,1.363,1.377,1.359
25.08.2005,1.368,1.371,1.381,1.360
26.08.2005,1.358,1.358,1.365,1.351
29.08.2005,1.360,1.354,1.362,1.351
30.08.2005,1.358,1.355,1.358,1.355
31.08.2005,1.345,1.357,1.365,1.338
1.09.2005,1.342,1.337,1.349,1.333
2.09.2005,1.337,1.340,1.352,1.330
5.09.2005,1.334,1.332,1.342,1.326
6.09.2005,1.332,1.330,1.342,1.324
7.09.2005,1.335,1.328,1.339,1.325
8.09.2005,1.334,1.333,1.340,1.327
9.09.2005,1.336,1.331,1.338,1.325
12.09.2005,1.339,1.335,1.342,1.330
13.09.2005,1.345,1.335,1.350,1.329
14.09.2005,1.342,1.341,1.352,1.332
15.09.2005,1.340,1.342,1.350,1.334
16.09.2005,1.343,1.338,1.346,1.331
19.09.2005,1.346,1.340,1.354,1.339
20.09.2005,1.344,1.338,1.356,1.333
21.09.2005,1.354,1.339,1.354,1.333
22.09.2005,1.342,1.332,1.348,1.330
23.09.2005,1.348,1.340,1.359,1.336
26.09.2005,1.348,1.344,1.354,1.341
27.09.2005,1.356,1.347,1.356,1.338
28.09.2005,1.349,1.345,1.357,1.342
29.09.2005,1.351,1.345,1.356,1.340
30.09.2005,1.347,1.347,1.356,1.340
3.10.2005,1.337,1.353,1.374,1.334
4.10.2005,1.352,1.333,1.361,1.327
5.10.2005,1.353,1.349,1.361,1.344
6.10.2005,1.363,1.348,1.369,1.346
7.10.2005,1.348,1.357,1.367,1.344
10.10.2005,1.351,1.343,1.353,1.337
11.10.2005,1.349,1.349,1.356,1.341
12.10.2005,1.362,1.346,1.364,1.345
13.10.2005,1.368,1.360,1.376,1.355
14.10.2005,1.370,1.366,1.377,1.362
17.10.2005,1.361,1.363,1.366,1.353
18.10.2005,1.370,1.360,1.371,1.356
19.10.2005,1.370,1.363,1.378,1.362
20.10.2005,1.368,1.369,1.371,1.357
21.10.2005,1.364,1.365,1.373,1.355
24.10.2005,1.362,1.362,1.368,1.356
25.10.2005,1.352,1.358,1.365,1.350
26.10.2005,1.356,1.358,1.361,1.347
27.10.2005,1.352,1.353,1.359,1.346
28.10.2005,1.352,1.348,1.355,1.344
31.10.2005,1.352,1.350,1.354,1.341
1.11.2005,1.352,1.350,1.356,1.343
2.11.2005,1.346,1.345,1.352,1.343
3.11.2005,1.349,1.345,1.353,1.344
4.11.2005,1.361,1.348,1.362,1.348
7.11.2005,1.360,1.359,1.366,1.354
8.11.2005,1.361,1.358,1.370,1.356
9.11.2005,1.360,1.360,1.366,1.353
10.11.2005,1.365,1.359,1.368,1.358
11.11.2005,1.362,1.363,1.367,1.359
14.11.2005,1.364,1.359,1.368,1.355
15.11.2005,1.358,1.362,1.367,1.353
16.11.2005,1.358,1.356,1.364,1.352
17.11.2005,1.352,1.359,1.364,1.349
18.11.2005,1.367,1.354,1.375,1.351
21.11.2005,1.366,1.363,1.370,1.359
22.11.2005,1.364,1.363,1.372,1.362
23.11.2005,1.358,1.363,1.365,1.354
24.11.2005,1.354,1.356,1.362,1.353
25.11.2005,1.358,1.355,1.361,1.352
28.11.2005,1.355,1.356,1.365,1.354
29.11.2005,1.357,1.354,1.358,1.350
30.11.2005,1.357,1.357,1.360,1.351
1.12.2005,1.359,1.355,1.361,1.352
2.12.2005,1.357,1.359,1.364,1.353
5.12.2005,1.355,1.357,1.363,1.351
6.12.2005,1.353,1.353,1.359,1.349
7.12.2005,1.357,1.351,1.360,1.350
8.12.2005,1.356,1.355,1.360,1.350
9.12.2005,1.358,1.355,1.359,1.350
12.12.2005,1.350,1.353,1.359,1.345
13.12.2005,1.346,1.348,1.350,1.343
14.12.2005,1.347,1.346,1.348,1.338
15.12.2005,1.349,1.346,1.351,1.340
16.12.2005,1.350,1.348,1.355,1.344
19.12.2005,1.352,1.348,1.353,1.344
20.12.2005,1.352,1.350,1.353,1.345
21.12.2005,1.352,1.350,1.357,1.345
22.12.2005,1.352,1.351,1.356,1.346
23.12.2005,1.351,1.349,1.353,1.345
26.12.2005,1.349,1.347,1.352,1.344
27.12.2005,1.352,1.347,1.353,1.344
28.12.2005,1.351,1.347,1.353,1.344
29.12.2005,1.349,1.347,1.352,1.344
30.12.2005,1.351,1.347,1.353,1.343
2.01.2006,1.351,1.349,1.353,1.345
3.01.2006,1.343,1.348,1.352,1.340
4.01.2006,1.334,1.339,1.342,1.331
5.01.2006,1.335,1.334,1.340,1.330
6.01.2006,1.329,1.334,1.339,1.325
9.01.2006,1.337,1.329,1.340,1.327
10.01.2006,1.345,1.334,1.357,1.334
11.01.2006,1.336,1.344,1.346,1.334
12.01.2006,1.339,1.334,1.340,1.334
13.01.2006,1.339,1.336,1.344,1.336
16.01.2006,1.332,1.334,1.339,1.327
17.01.2006,1.336,1.330,1.342,1.327
18.01.2006,1.338,1.337,1.341,1.329
19.01.2006,1.336,1.335,1.340,1.330
20.01.2006,1.336,1.335,1.339,1.330
